open_rank,name,conemass_union,conemass_guaranteed,direct_dependents,transitive_dependents,chain_depth,title
407,Erdos142.erdos_142_variants_lower,0.0000,0.0000,0,0,0,Erdős #142 (`variants.lower`): $r_k(N) = o_k(N/\log N)$
408,Erdos287.max_gap_ge_three,0.0000,0.0000,0,0,0,Erdős Problem 287: some gap between the denominators is at least three
409,Erdos390.eventual_central_tail_split,0.0000,0.0000,0,0,0,Theorem 10.3 — Central anchor and tail quotient decomposition
410,Erdos390.eventual_residual_assembly_of_central_anchor,0.0000,0.0000,0,0,0,Theorem 10.3 — Residual tail exactification given central anchor
411,Erdos81.root_problem,0.0000,0.0000,0,0,0,Erdos Problem 81: n²/6 plus a linear remainder
412,ErdosStraus242.erdos_242,0.0000,0.0000,0,0,0,The Erdős–Straus conjecture - unresolved root goal
413,Esgk.general_position_distinct_distances_superlinear,0.0000,0.0000,0,0,0,Superlinear growth of distinct distances in general position
414,Esquisse.galois_action_faithful_on_belyi_polynomials,0.0000,0.0000,0,0,0,$\mathrm{Gal}(\overline{\mathbb{Q}}/\mathbb{Q})$ acts faithfully on dessins d'enfants (plane trees)
415,EulerMascheroni.exists_int_linear_forms_tendsto_zero,0.0000,0.0000,0,0,0,Vanishing integer linear forms in $\gamma$
416,EulerMascheroni.gamma_irrational,0.0000,0.0000,0,0,0,Euler's constant is irrational
417,FCP.BatemanHorn.bateman_horn_conjecture,0.0000,0.0000,0,0,0,Bateman--Horn conjecture
418,FiniteMagmaE677.e677_implies_e255_finite,0.0000,0.0000,0,0,0,E677 implies E255 for finite magmas
419,Freiman.maximal_hall_ray,0.0000,0.0000,0,0,0,Freiman's maximal Hall ray
420,Freiman.middle_cover_realization,0.0000,0.0000,0,0,0,middle cover realization
421,Freiman.middle_good38,0.0000,0.0000,0,0,0,middle good38
422,Freiman.middle_initial_cover,0.0000,0.0000,0,0,0,middle initial cover
423,Freiman.middle_path_choice,0.0000,0.0000,0,0,0,middle path choice
424,Freiman.middle_path_realized,0.0000,0.0000,0,0,0,middle path realized
425,Freiman.middle_step,0.0000,0.0000,0,0,0,middle step
426,Gelbart.hecke_correspondence,0.0000,0.0000,0,0,0,Theorem 1 (Hecke): automorphy ⟺ nice Dirichlet series
427,Gilbreath.gilbreath_conjecture,0.0000,0.0000,0,0,0,Gilbreath's conjecture
428,Goldbachs_Weak_Conjecture,0.0000,0.0000,0,0,0,
429,Green_Tao_Theorem,0.0000,0.0000,0,0,0,
430,Gribov.no_continuous_gauge_fixing,0.0000,0.0000,0,0,0,Singer's Corollary 4: no continuous gauge exists
431,GrothendieckTeichmuller.deligne_drinfeld_ihara,0.0000,0.0000,0,0,0,"Deligne-Drinfeld-Ihara conjecture: $\mathfrak{grt}_1$ is free on $\sigma_3, \sigma_5, \sigma_7, \dots$"
432,Hadamard_Conjecture,0.0000,0.0000,0,0,0,
433,Hairer.reconstruction_operator_nonpos,0.0000,0.0000,0,0,0,Existence of a linear reconstruction operator for $\alpha<\gamma\le 0$
434,Hairer.reconstruction_theorem,0.0000,0.0000,0,0,0,"Reconstruction theorem (Hairer, Theorem 3.10) for $\gamma>0$"
435,HairerSPDE.cameronMartin_quasiInvariant,0.0000,0.0000,0,0,0,Cameron-Martin quasi-invariance of a centred Gaussian measure
436,HarmonicBuilding.circleLocalGeodesicSpeed,0.0000,0.0000,0,0,0,In the constant-distance case the circle map has constant speed $\alpha L$
437,HarmonicBuilding.constantOnCircleImpliesConstantOnBall,0.0000,0.0000,0,0,0,A harmonic map constant on a circle is constant on the disc
438,HarmonicBuildingKL.orderReducesToHomogeneousWD,0.0000,0.0000,0,0,0,Reduction to a homogeneous map on a conical building with directions
439,HarmonicBuildingKL.possibleOrdersOfBuildingWithDirections,0.0000,0.0000,0,0,0,"Possible orders of harmonic maps into Euclidean buildings, over the Kleiner--Leeb axioms"
440,Hirsch.polynomial_hirsch_conjecture,0.0000,0.0000,0,0,0,The polynomial Hirsch conjecture
441,HorizontalPadicL.eigenform_horizontalPadicLFunction_exists,0.0000,0.0000,0,0,0,Existence of a nonzero horizontal 2-adic L-function
442,HorizontalPadicL.elliptic_curve_nonvanishing,0.0000,0.0000,0,0,0,Theorem 1.1(1) — fixed-order nonvanishing for one elliptic curve
443,HorizontalPadicL.horizontalPadicLFunction_implies_corollary_5_17,0.0000,0.0000,0,0,0,A nonzero horizontal p-adic L-function implies fixed-order nonvanishing
444,InverseGalois.inverse_galois_problem,0.0000,0.0000,0,0,0,The inverse Galois problem
445,KAMMainCorrected.poincareTreshchevPersistence,0.0000,0.0000,0,0,0,Corrected Poincaré–Treshchev persistence under almost-periodic perturbations
446,KServer.kserver_conjecture,0.0000,0.0000,0,0,0,The deterministic $k$-server conjecture
447,Komlos.komlos_conjecture,0.0000,0.0000,0,0,0,The Komlós conjecture
448,LeanEval.Geometry.SpaceGroupsProblem.space_groups,0.0000,0.0000,0,0,0,"230 space groups: the exact 230, 219, and 65 counts"
449,LeanEval.Geometry.WhitneyEmbeddingProblem.whitney_embedding,0.0000,0.0000,0,0,0,"Whitney embedding theorem: strong dimension 2n, including noncompact manifolds"
450,LeanEval.NumberTheory.riemann_hypothesis_iff_lagarias_elementary_criterion,0.0000,0.0000,0,0,0,Lagarias criterion is equivalent to RH
451,Leopoldt.leopoldt_CM,0.0000,0.0000,0,0,0,Leopoldt's conjecture holds in CM fields for odd $p$
452,MTT.Cohomology.eichler_shimura_hecke_compatible,0.0000,0.0000,0,0,0,The Eichler–Shimura decomposition is compatible with the prime Hecke operators
453,MagicSquares.semi_magic_polynomial,0.0000,0.0000,0,0,0,BCCG Theorem 1: the counting polynomial of semi-magic squares
454,Mandelbrot.mandelbrot_locally_connected,0.0000,0.0000,0,0,0,MLC: the Mandelbrot set is locally connected
455,MetricTSP.four_thirds_conjecture,0.0000,0.0000,0,0,0,The 4/3 conjecture for the subtour LP
456,NavierStokes.existence_and_smoothness_R3,0.0000,0.0000,0,0,0,Fefferman (A): existence and smoothness of Navier–Stokes solutions on $\mathbb{R}^3$ (Clay Millennium Prize Problem)
457,NgoFL.isogeny_weyl_equivariant,0.0000,0.0000,0,0,0,1.12.4 / 1.12.6: $\psi_*$ conjugates $W_1$ onto $W_2$
458,OPG169.root_problem,0.0000,0.0000,0,0,0,OPG-169: the Two Color Conjecture for planar digraphs
459,OPG1808.root_problem,0.0000,0.0000,0,0,0,OPG-1808: rainbow directed triangle or monochromatic source
460,OPG37271.root_problem,0.0000,0.0000,0,0,0,OPG-37271: six colors for every finite subcubic graph
461,OPG37357.universal_planar_bound,0.0000,0.0000,0,0,0,OPG-37357: a universal obstacle bound for planar graphs
462,OPG401.root_problem,0.0000,0.0000,0,0,0,OPG-401: circular chromatic number at most 20/7
463,OPG434.root_problem,0.0000,0.0000,0,0,0,OPG-434: the weak pentagon problem
464,PoincareFormalization.nonempty_homeomorph_sphere_three,0.0000,0.0000,0,0,0,Three-dimensional topological Poincaré conjecture — Mathlib statement
465,PoincareFormalization.persistent_profiles_of_not_homeomorph_sphere,0.0000,0.0000,0,0,0,Persistent profiles from a hypothetical Poincare counterexample
466,ReservoirSAS.sas_universal,0.0000,0.0000,0,0,0,Universality of SAS reservoir computers (Thm. 3.12)
467,RobustOptimization.grc_conic_decomposition,0.0000,0.0000,0,0,0,"The globalized robust counterpart of a conic constraint decomposes (Ben-Tal et al., Proposition 11.3.3)"
468,RybinAI2026.P01.matrix_integral_inequality,0.0000,0.0000,0,0,0,Problem 01 Goal — Matrix integral inequality
469,RybinAI2026.P01.matrix_integral_inequality_integer_gram_reindex_residual,0.0000,0.0000,0,0,0,Integer-Gram residual beyond ratio and crossed-permutation certificates
470,RybinAI2026.P01.matrix_integral_inequality_rational_gram,0.0000,0.0000,0,0,0,Matrix integral inequality for rational regularized Gram matrices
471,RybinAI2026.P01.matrix_integral_kernel_sum_le_max,0.0000,0.0000,0,0,0,"Sign-free kernel bound $I_1+I_2\le\max(d(A,C),d(B,D))$ for the matrix integral inequality"
472,RybinAI2026.P02Hilbert.hilbert_compression_rigidity,0.0000,0.0000,0,0,0,Compression rigidity on arbitrary complex Hilbert spaces
473,RybinAI2026.P13.exponential_boundary_elementary_density,0.0000,0.0000,0,0,0,Problem 13 Goal — Exponential boundary elementary density
474,RybinAI2026.P16.complete_MUB_dimension_six,0.0000,0.0000,0,0,0,Problem 16 Goal — Complete MUB dimension six
475,SIC_POVM_Conjecture,0.0000,0.0000,0,0,0,
476,SP4Mission.smooth_poincare_4,0.0000,0.0000,0,0,0,Smooth four-dimensional Poincaré conjecture — sphere form
477,SchinzelHypothesisH.hypothesis_H,0.0000,0.0000,0,0,0,Schinzel's Hypothesis H
478,SmaleNinth.ram_to_bss_quadratic,0.0000,0.0000,0,0,0,Real RAM to tape machine: quadratic-overhead compilation
479,SmaleNinth.smale_ninth_problem,0.0000,0.0000,0,0,0,Smale's 9th problem: polynomial-time LP feasibility over $\mathbb{R}$
480,StabilizerRank.stabRank_hState_not_bigO,0.0000,0.0000,0,0,0,Super-polynomial lower bound on the stabilizer rank of $|H^{\otimes n}\rangle$
481,SymplecticFreeModules.symplecticFreeModulesMain,0.0000,0.0000,0,0,0,Theorems 1.1–1.3 — Symplectic polynomial modules and Hamiltonian application
482,TaoFivePrimes.even_goldbach_verified,0.0000,0.0000,0,0,0,Numerical verification of the even Goldbach conjecture up to 4 * 10^14
483,TaoFivePrimes.five_primes,0.0000,0.0000,0,0,0,Every odd number greater than 1 is the sum of at most five primes
484,TaoFivePrimes.major_arc_estimate,0.0000,0.0000,0,0,0,Proposition 8.3: the strongly major arc estimate (8.12)
485,TaoFivePrimes.minor_arc_L2,0.0000,0.0000,0,0,0,Proposition 8.4: the $L^2$ estimate off the strongly major arc
486,TaoFivePrimes.minor_arc_Linfty,0.0000,0.0000,0,0,0,Estimate (8.18): the $L^\infty$ bound off the strongly major arc
487,TaoFivePrimes.prime_in_short_interval,0.0000,0.0000,0,0,0,A prime in every short interval above 1.1 * 10^10 (Ramare-Saouter)
488,TaoFivePrimes.three_primes_near,0.0000,0.0000,0,0,0,"Three odd primes summing into [x - N0, x - 2] (circle-method core)"
489,TarchaBraids.thm_3_15_artin_presentation,0.0000,0.0000,0,0,0,"Teorema 3.15 (Artin): $\pi_1(B_{0,n}E^2) \cong \langle \sigma_i \mid \text{braid relations}\rangle$, generator by generator"
490,Thurston23.thurston_question_23,0.0000,0.0000,0,0,0,Goal - the volumes of hyperbolic 3-manifolds are not all rationally related
491,UndecidableSpectralGap.usg_spectral_gap_main,0.0000,0.0000,0,0,0,Theorem 3 - undecidability of the spectral gap (main theorem)
492,WeightedRootIntegralIdentity.weighted_root_integral_identity,0.0000,0.0000,0,0,0,Weighted root integral identity
493,WeilTypeCycles.hodge_weil_classes_of_abelian_sixfolds_of_discriminant_neg_one_are_algebraic,0.0000,0.0000,0,0,0,Theorem 1.5.1 — Hodge–Weil classes of abelian sixfolds of Weil type of discriminant $-1$ are algebraic
494,Z2nFiveEighths.cubeFree_card_le_five_eighths,0.0000,0.0000,0,0,0,Long-Wagner Conjecture 5.1: a cube-free set mod $2^n$ has size at most $\frac{5}{8}2^n$
495,bernoulli_tangent_sampling_concentration_formula_bound_dense,0.0000,0.0000,0,0,0,
496,least_squares_certificate_normal_bound_from_neumann_term_bounds,0.0000,0.0000,0,0,0,
497,mme_CW_square_laser_value_2376_of_coupled,0.0000,0.0000,0,0,0,CW tensor-square tau-value at the exact 2.376 profile
498,mme_laser_per_N_witness,0.0000,0.0000,0,0,0,
499,mme_omega_lt_237193,0.0000,0.0000,0,0,0,Duan–Wu–Zhou fourth-power bound: omega < 2.37193
500,momentAngle_arbitrary_torsion,0.0000,0.0000,0,0,0,Theorem 1.7 — Arbitrary torsion in moment-angle and loop-space homology
501,no_diophantine_quintuple,0.0000,0.0000,0,0,0,There is no Diophantine quintuple
502,odd_perfect_number_conjecture,0.0000,0.0000,0,0,0,
503,riemann_hypothesis,0.0000,0.0000,0,0,0,
504,twin_prime_conjecture,0.0000,0.0000,0,0,0,
